,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
422,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,1
423,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,0
424,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,0
425,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
426,False,True,True,False,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,1
427,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,0
428,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,0
429,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,0
430,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,0
431,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,1
432,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,0
433,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,,,,,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,1
434,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,1
435,False,True,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,1
436,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,0
437,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,True,True,True,0
438,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,1
439,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,1
440,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,1
441,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,1
442,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,,,,,False,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,1
443,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,1
444,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,0
445,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,0
446,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,1
447,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,1
448,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,0
449,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,0
450,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0
451,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,0
452,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,1
453,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0
454,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,1
455,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,0
456,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,0
457,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,0
458,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,0
459,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,1
460,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,0
461,False,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,1
462,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,,,,,False,True,False,True,False,True,True,True,False,True,True,True,False,False,False,True,0
463,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,0
464,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,1
